City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,75.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
3,Mayo,US,78.62,clear sky,38.8876,-76.5119,Resorts Resource Group International
9,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
19,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
21,Mulege,MX,81.84,clear sky,26.8833,-111.9833,Casa Granada
24,Domoni,KM,78.87,broken clouds,-12.2569,44.5319,Al Djadid
25,Hithadhoo,MV,82.78,overcast clouds,-0.6,73.0833,Scoop Guest House
28,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
30,Dhidhdhoo,MV,82.35,overcast clouds,6.8833,73.1,Dhidhoo beach
36,Hays,US,82.87,scattered clouds,30.0502,-98.0336,Sinya on Lone Man Creek
42,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Bengkulu,ID,75.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
45,Parker,US,80.06,clear sky,32.7668,-97.8003,"Candlewood Suites Weatherford, an IHG Hotel"
50,Pizarro,CO,83.12,broken clouds,4.9533,-77.366,Hotel Limonar
51,Victoria,HK,75.33,light rain,22.2855,114.1577,Mini Hotel Central
54,Buchanan,LR,82.36,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
56,Taganak,PH,75.34,overcast clouds,6.0833,118.3,Taganak
68,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
78,Kerema,PG,78.39,light rain,-7.9631,145.7785,Frena Lodge
82,Kavieng,PG,81.32,clear sky,-2.5744,150.7967,Nusa Island Retreat
83,Cape Town,ZA,75.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
84,Butaritari,KI,81.5,clear sky,3.0707,172.7902,Isles Sunset Lodge
92,Inhambane,MZ,85.98,few clouds,-23.865,35.3833,Oceano
