City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,75.22,80,34,13.29,scattered clouds
1,Jamestown,US,42.097,-79.2353,67.32,68,75,7.0,broken clouds
2,Busselton,AU,-33.65,115.3333,42.04,67,59,6.15,broken clouds
3,Mayo,US,38.8876,-76.5119,78.62,69,1,5.01,clear sky
4,Ribeira Grande,PT,38.5167,-28.7,70.2,73,75,10.36,broken clouds
5,Fairbanks,US,64.8378,-147.7164,26.6,92,75,0.0,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,74.62,73,100,19.15,overcast clouds
7,Kijang,KR,35.2442,129.2139,51.53,57,0,5.53,clear sky
8,Hilo,US,19.7297,-155.09,71.8,88,90,5.75,light rain
9,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,14.97,light rain
10,Ushuaia,AR,-54.8,-68.3,37.02,86,75,29.93,snow
11,Kapaa,US,22.0752,-159.319,73.72,88,20,13.8,light rain
12,Mareeba,AU,-17.0,145.4333,67.44,95,89,2.57,overcast clouds
13,Ancud,CL,-41.8697,-73.8203,57.42,86,100,12.33,overcast clouds
14,Yellowknife,CA,62.456,-114.3525,39.42,99,90,11.5,overcast clouds
15,Ostrovnoy,RU,68.0531,39.5131,20.89,89,18,7.25,few clouds
16,Port Macquarie,AU,-31.4333,152.9167,62.56,84,10,7.4,clear sky
17,Verkhoyansk,RU,67.5447,133.385,-4.76,100,85,1.79,overcast clouds
18,Severo-Kurilsk,RU,50.6789,156.125,38.88,82,23,12.71,few clouds
19,Bathsheba,BB,13.2167,-59.5167,86.61,66,75,28.77,broken clouds
20,Mataura,NZ,-46.1927,168.8643,49.87,98,99,2.62,overcast clouds
21,Mulege,MX,26.8833,-111.9833,81.84,41,0,2.82,clear sky
22,Nuuk,GL,64.1835,-51.7216,25.41,42,1,20.71,sand
23,Port Alfred,ZA,-33.5906,26.891,64.92,77,48,23.85,scattered clouds
24,Domoni,KM,-12.2569,44.5319,78.87,89,56,6.33,broken clouds
25,Hithadhoo,MV,-0.6,73.0833,82.78,75,93,14.38,overcast clouds
26,Khani,GE,41.9563,42.9566,40.57,97,99,2.37,light rain
27,Kaitangata,NZ,-46.2817,169.8464,51.21,90,98,5.88,overcast clouds
28,Salalah,OM,17.0151,54.0924,78.89,78,0,4.61,clear sky
29,Leh,IN,34.1667,77.5833,30.76,63,93,2.04,overcast clouds
30,Dhidhdhoo,MV,6.8833,73.1,82.35,77,98,9.51,overcast clouds
31,Leua,SK,48.2156,18.6071,51.49,59,14,7.83,few clouds
32,New Norfolk,AU,-42.7826,147.0587,49.5,98,44,2.57,scattered clouds
33,Qaanaaq,GL,77.484,-69.3632,-2.51,58,14,12.37,few clouds
34,Warwick,US,41.7001,-71.4162,70.92,95,90,6.91,mist
35,Cidreira,BR,-30.1811,-50.2056,74.91,47,0,4.99,clear sky
36,Hays,US,30.0502,-98.0336,82.87,88,34,2.04,scattered clouds
37,Rottingdean,GB,50.8098,-0.0594,59.63,84,20,11.01,few clouds
38,Punta Arenas,CL,-53.15,-70.9167,41.11,62,90,31.07,heavy shower snow
39,Dhankuta,NP,26.9833,87.3333,57.04,89,1,5.48,clear sky
40,Dikson,RU,73.5069,80.5464,12.78,89,100,19.6,overcast clouds
41,Dumas,US,35.8656,-101.9732,70.54,34,1,20.71,clear sky
42,Puerto Ayora,EC,-0.7393,-90.3518,75.16,87,59,4.0,broken clouds
