City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Axim,GH,2021-10-21 14:10:50,4.8699,-2.2405,81.18,77,100,9.22
1,Savannah Bight,HN,2021-10-21 14:10:50,16.45,-85.85,86.05,78,78,14.7
2,Busselton,AU,2021-10-21 14:10:51,-33.65,115.3333,53.1,84,67,6.85
3,Sioux Lookout,CA,2021-10-21 14:10:51,50.1001,-91.917,29.68,70,33,7.81
4,Beloha,MG,2021-10-21 14:10:52,-25.1667,45.05,69.49,60,49,13.44
5,Ushuaia,AR,2021-10-21 14:10:52,-54.8,-68.3,49.62,64,45,5.39
6,Saldanha,ZA,2021-10-21 14:10:53,-33.0117,17.9442,63.61,72,100,14.14
7,Severo-Kurilsk,RU,2021-10-21 14:10:53,50.6789,156.125,36.32,65,86,8.39
8,Qaanaaq,GL,2021-10-21 14:10:53,77.484,-69.3632,3.43,83,22,7.87
9,Lasa,IT,2021-10-21 14:10:54,46.6166,10.7002,56.03,94,99,4.16
10,Sur,OM,2021-10-21 14:10:54,22.5667,59.5289,84.47,56,5,10.8
11,New Norfolk,AU,2021-10-21 14:10:55,-42.7826,147.0587,56.75,97,97,2.59
12,Albany,US,2021-10-21 14:10:55,42.6001,-73.9662,63.27,77,62,1.01
13,Punta Arenas,CL,2021-10-21 14:10:52,-53.15,-70.9167,48.31,61,75,20.71
14,Yeniseysk,RU,2021-10-21 14:10:56,58.4497,92.1703,38.48,82,81,4.94
15,Chandler,US,2021-10-21 14:08:19,33.3062,-111.8412,68.31,47,1,0.0
16,Mataura,NZ,2021-10-21 14:10:57,-46.1927,168.8643,35.02,99,9,2.59
17,Acapulco,MX,2021-10-21 14:07:42,16.8634,-99.8901,82.22,83,40,0.0
18,Barrow,US,2021-10-21 14:10:57,71.2906,-156.7887,28.42,86,90,8.05
19,Cherskiy,RU,2021-10-21 14:10:58,68.75,161.3,1.92,98,99,5.77
20,Sulangan,PH,2021-10-21 14:10:58,11.1373,123.7228,84.25,74,100,7.83
21,Saint Anthony,US,2021-10-21 14:10:59,45.0205,-93.218,45.55,87,90,4.0
22,Dikson,RU,2021-10-21 14:10:59,73.5069,80.5464,22.69,74,95,9.48
23,Sarahan,IN,2021-10-21 14:10:59,31.5167,77.8,54.46,71,1,2.77
24,Tasiilaq,GL,2021-10-21 14:11:00,65.6145,-37.6368,42.96,66,11,8.14
25,Dingle,PH,2021-10-21 14:11:00,10.9995,122.6711,76.87,91,100,5.41
26,Atuona,PF,2021-10-21 14:11:01,-9.8,-139.0333,76.93,80,12,18.57
27,Danielskuil,ZA,2021-10-21 14:11:02,-28.1887,23.5395,68.05,44,100,11.68
28,Esperance,AU,2021-10-21 14:11:03,-33.8667,121.9,59.49,73,98,15.19
29,Hermanus,ZA,2021-10-21 14:11:03,-34.4187,19.2345,67.89,71,59,8.81
30,Chokurdakh,RU,2021-10-21 14:11:04,70.6333,147.9167,-17.28,96,70,3.62
31,Nikolskoye,RU,2021-10-21 14:11:04,59.7035,30.7861,57.87,83,96,9.64
32,Hilo,US,2021-10-21 14:06:11,19.7297,-155.09,75.27,72,1,6.91
33,Rikitea,PF,2021-10-21 14:11:05,-23.1203,-134.9692,73.94,76,100,18.68
34,Honiara,SB,2021-10-21 14:11:05,-9.4333,159.95,77.77,87,100,2.55
35,Hamilton,US,2021-10-21 14:10:30,39.1834,-84.5333,64.2,89,90,1.01
